ID,Name,Manufacturer,Country,Min. Speed (Knots),Max Speed (Knots),Min. Endurance (Days),Max. Endurance (Days),Min. Endurance (Hours),Max. Endurance (Hours),Max. Length (m),Full D mensions (L×W×H),Endurance Description,Propulsion,Power,Speed Description,Sensors,Main Application,Comms,Sensor Suite,Communication,Crew Requirement,Certifications,MASS Level,Use Cases,Pros,Cons,Spec Sheet (URL),Source URL,Sources
1,Albatros (S/T),Aselsan,Turkey,40,40,0.25,0.42,6.00,10.00,7.2,7.2×2.0×– m; T: 5.5×1.65×– ma ,S:  10 hours; T: ~6 hours,S: Diesel inboard (tail-mounted); T: Single diesel inboard (waterjet),Diesel fuel (portable tanks),S: ?40 kn; T: >40 kn,"S: Navigation radar, anti-jam GNSS, day/night video; T: basic nav camera, radar reflector",S: Swarm reconnaissance & kamikaze attack; T: High-speed gunnery target,"Encrypted RF mesh, LTE (4.5G), SatComarmyrecognition.com","S: Radar, GNSS/INS, live-feed camera; 250 kg warhead payloadarmyrecognition.comarmyrecognition.com","Remote or autonomous (swarm-capable AI, waypoint autopilot)armyrecognition.comarmyrecognition.com",0 (uncrewed; optional manned control for T during training),– (Military-grade; likely COLREGs-compliant for S),S: Level 4 (fully autonomous swarm); T: Level 2 (remote control),"S: Port defense, coast patrol, multi-boat swarm strikesarmyrecognition.com; T: Naval gun/missile training ","S Pros: High autonomy (solo or swarm), obstacle avoidance, multi-link commsarmyrecognition.comarmyrecognition.com; 45 kn high speed. T Pros: Realistic fast target, agile (zigzag/high-speed maneuvers) ",S Cons: Limited payload aside from warhead (250 kg)armyrecognition.com; short range without SatCom (10 nm RF)vpk.name. T Cons: No onboard sensors beyond nav aids; 10 nm control rangevpk.name.,Albatros-S Spec Sheet (Aselsan)wwwcdn.aselsan.comwwwcdn.aselsan.com,Aselsan Product Pageaselsan.comaselsan.com,armyrecognition.comarmyrecognition.comvpk.name
2,Alpha ARK,Alpha-GEO,China,,,0.25,0.25,6.00,6.00,1.18,1.18 m × 0.62 m × 0.345 m ,~6 h (at 1.5–2 m/s cruise),Single electric jet propulsion (brushless DC motor),Max 6 m/s (?12 kn); 1.5–2 m/s cruise:contentReference[oaicite:44]{index=44},360° panoramic camera; ultrasonic obstacle avoidance; GPS/BeiDou RTK ,"Rechargeable lithium battery (built-in, swappable)",Hydrographic surveys in inland waters; environmental monitoring; water sampling,2.4 GHz wireless point-to-point link:contentReference[oaicite:47]{index=47},"Single-beam echosounder (standard); optional side-scan sonar, ADCP, water quality & sampling ",Up to ~3 km range (LOS):contentReference[oaicite:50]{index=50}; cellular network via base station,0 (uncrewed; one operator for remote control),CE Mark (likely); others N/A,Level 3 (autonomous with remote monitoring),Shallow-water bathymetry; river flow measurements (ADCP); water quality surveys ,Portable (15 kg) and easy to deploy:contentReference[oaicite:53]{index=53}; durable Kevlar/carbon hull:contentReference[oaicite:54]{index=54}; autonomous navigation with auto-return safety ,Limited payload (~10 kg) and size; restricted to calm water (wave level 3 max):contentReference[oaicite:57]{index=57}; short control range (~3 km) ,N/A,https://www.alphageo-info.com/m-type-trimaran-boat-shape-usv-system-alpha-ark-for-underwater-survey,:contentReference[oaicite:59]{index=59}; :contentReference[oaicite:60]{index=60}; :contentReference[oaicite:61]{index=61}
3,Alpha ARK-S,Alpha-GEO,China,,,0.17,0.17,4.00,4.00,0.75,0.75 m × 0.41 m × 0.23 m ,~4 h (at 2 m/s) ,Single electric jet propulsion (BLDC motor) ,Max 5 m/s (?9.7 kn); 1.5–2 m/s cruise:contentReference[oaicite:65]{index=65},HD video transmission camera; ultrasonic obstacle avoidance; GNSS module (RTK) ,Rechargeable lithium battery,"Small-scale hydrographic surveys (ponds, canals); ADCP river flow mapping; quick-deploy measurements ",2.4 GHz RF point-to-point link:contentReference[oaicite:70]{index=70},"Single-beam echosounder (std); optional ADCP, side-scan, water quality sensors ",Line-of-sight ~2 km range:contentReference[oaicite:72]{index=72},0 (uncrewed; single operator portable),N/A,Level 3 (autonomous with remote monitoring),ADCP flow surveys in streams; bathymetry in ponds/reservoirs; environmental sampling in hard-to-reach waters ,Ultra-light (5 kg) one-man portable platform:contentReference[oaicite:75]{index=75}; simple deployment and operation:contentReference[oaicite:76]{index=76}; integrated GNSS & autopilot ensures precise navigation  sensor options for various tasks,Very limited payload (8 kg):contentReference[oaicite:79]{index=79}; short endurance (4 h):contentReference[oaicite:80]{index=80}; only operable in calm conditions (wave level 2):contentReference[oaicite:81]{index=81}; communication range ~2 km ,N/A,https://www.alphageo-info.com/small-size-usv-system-alpha-ark-s-for-underwater-survey,:contentReference[oaicite:83]{index=83}; :contentReference[oaicite:84]{index=84}
4,Alpha Hi Hydrographic,Alpha Survey Tech,China,12,12,0.25,0.50,6.00,12.00,0.45,1.18×0.55×0.45 m,6 h @ cruise (opt. 12 h) ,Dual DC pumpjet thrusters; polymer trimaran hull; swappable Li-ion battery,Electric (Li-ion battery pack),6 m/s (~12 kn) max,"Single-beam echosounder (0.2–200 m), RTK GNSS, 1080p camera, millimeter-wave radar","Hydrographic surveying (bathymetry), ADCP current profiling, water sampling & quality monitoring",2.4 GHz RC (?3 km); dual-band remote controller with map telemetry,"RTK GNSS + IMU nav system; optional multibeam, side-scan sonar, ADCP, water-quality sensors",Remote control with Android console; autonomous waypoint following & auto-return,"0 (uncrewed, one operator remote)",– (Rugged IP67 design; likely CE marked for export),Level 3 (autonomous survey mode with human oversight),"Inland hydrography, reservoir and river mapping, environmental monitoring, dam inspections","Pros: Very portable (?25 kg) and deployable; multi-sensor modularity (ADCP, multi-beam, etc.); collision avoidance (mmWave radar) for safe auto-navigation.",Cons: Limited sea state tolerance (Beaufort 4 max); moderate speed; payload capacity ~45 kg restricts heavy instruments.,Alpha Hi Brochureiatecps.comiatecps.com,Alpha Surveying (Product Info)iatecps.comiatecps.com,iatecps.comiatecps.com
5,Alpha M3 Emergency,Alpha Survey Tech,China,12,12,0.21,0.42,5.00,10.00,0.9,0.90×0.50×0.34 m,4–5 h @ 1.5 m/s (fast-charge; opt. 8–10 h) ,"Dual pumpjet thrusters (brushless DC); quick-swap battery (20 Ah, 22.2 V)","Electric (Li-ion, 20 A fast charging)",6 m/s (~12 kn) max,"Side-scan sonar, single-beam echo sounder (?0.3 m depth), HD video camera, obstacle-avoidance radar","Emergency response: surface & subsurface search and rescue, structural inspection, disaster site surveying",2.4 GHz Android RC with 5.5? screen (?1.5 km); 4G LTE link for BVLOS control,"Multi-sensor suite: SSS + single-beam sonar, dual GNSS RTK and compass, 360° video feed",Remote/operator control with live telemetry; autonomous survey/SONAR runs with auto-return & obstacle avoidance,"0 (uncrewed, one operator remote)",– (Designed for all-weather use; sealed electronics),Level 3 (semi-autonomous with obstacle avoidance),"Flood victim search (sonar imaging), dam or bridge collapse inspection, underwater target detection, rescue support",Pros: Multi-sensor integration (SSS + echo sounder for comprehensive search); fast deployment (ready in 1 min); high agility with pumpjets (torrent-capable).,Cons: Small size limits range (~1.5 km remote) and endurance without battery swap; light weight (18 kg) vulnerable in high currents or waves; payload limited to included sensors.,Alpha M3 Brochureiatecps.comiatecps.com,Alpha Surveying (M3 Info)iatecps.comiatecps.com,iatecps.comiatecps.comiatecps.com
6,Alpha Mi Survey,Alpha Survey Tech,China,10,10,0.21,0.42,5.00,10.00,0.9,0.90×0.50×0.34 m,4–5 h @ 1.3 m/s (std); up to 8–10 h with extra batteries,Dual pumpjet thrusters; trimaran hull; 30 Ah Li-ion battery (hot-swappable),"Electric (22.2 V, 30 Ah battery)",5 m/s (~10 kn) max,"Single-beam bathymetric sonar (±1?cm accuracy), dual RTK GNSS antennas, HD camera",One-person hydrographic surveys of lakes & rivers; depth sounding and mapping with high precision,4G LTE (unlimited range via network); 5.8 GHz radio (?2 km),"Single-beam echo sounder, integrated GNSS+INS for bridge-underpass nav, water temp sensor (SV compensation)chcnav.com",Autonomous route following (pre-planned tracks) even in currentschcnav.com; real-time data & video to Android RC tabletchcnav.com,"0 (uncrewed, single operator)","– (Waterproof hull, CE compliance expected for exports)","Level 2–3 (remote-controlled with autopilot, auto-return)","Shallow water mapping, sediment survey, irrigation canal sounding, small reservoir hydrography, aquatic habitat mapping",Pros: Ultra-portable (16–20 kg) for single-person operation; precise depth data with auto SV correctionchcnav.com; robust comms (4G + local RF) for long-range data streaming.,Cons: Limited sensor payload (primarily single-beam sonar) compared to larger USVs; not suited for open sea (designed for calm inland waters); moderate top speed 5 m/s.,Alpha Mi Survey Specgeo-matching.comgeo-matching.com,Alpha Surveying (Mi Info)iatecps.comiatecps.com,globalgpssystems.comglobalgpssystems.comunmannedsystemstechnology.com
7,Alpha Mi USV,Alpha Survey Tech,China,12,12,0.21,0.21,5.00,5.00,0.9,0.90×0.50×0.34 m,4–5 h per battery (5 h max per run),Dual electric pumpjets (detachable propellers); lightweight trimaran design (16 kg),Electric (rechargeable Li-ion packs),6 m/s (~12 kn) max,"Single-beam echo sounder (8° beam), GNSS RTK, digital compass, live camera feed",General-purpose unmanned survey platform for hydrology and mapping; easy deployment in remote areas,4G network (unlimited range) + RF remote up to ~2 km,"Echo sounder (0.1–120 m depth) with 1?cm resolution, dual GNSS for heading, real-time video & data link to base",Remote operation via handheld controller or laptop; autonomous navigation with predefined routes and auto-return on low battery,0 (uncrewed),– (No special certifications known),Level 2 (remotely operated; auto modes for survey),"Small-scale bathymetry, rapid pond/lake surveys, university research, flood basin monitoring, aquaculture surveys",Pros: Easy transport (fits in car trunk); one-person launch; dual GNSS+IMU provides stable course-keeping under bridgeschcnav.com; 4G remote control removes range limits.,Cons: Very limited endurance without swapping batteries; vulnerable to interference in GNSS-denied spots (relies on GNSS/INS); not suitable for rough waters or heavy payloads.,Alpha Mi USV Spec Sheetglobalgpssystems.comglobalgpssystems.com,Alpha Surveying (Mi Article)alpha-surveying.comyoutube.com,globalgpssystems.comglobalgpssystems.comiatecps.com
8,Apache 3,CHC Navigation (CHCNAV),China,10,10,0.17,0.29,4.00,7.00,1.05,1.05×0.55×0.39 m (hull)chcnav.c m,~7 h @ survey speed (single 23 Ah battery)vpk.name; ~4 h @ 2 m/s with swappable ,"Twin brushless DC thrusters (differential steering); carbon fiber monohull; hot-swap Li-ion battery (32.4 V, 23.1 Ah)",Electric (rechargeable Li-ion),5 m/s (10 kn) max,"Single-beam echo sounder (200 kHz, ±0.01 m accuracy), dual GNSS RTK + IMU, 360° camera","Bathymetric surveys in shallow waters (lakes, rivers, coastal areas)",4G LTE (for BVLOS); 2.4 GHz encrypted remote (?1 km)chcnav.com,"D270 single-beam sonar, integrated GNSS/INS for precise positioning under bridges, water quality sensor ",Autonomous waypoint navigation (adaptive straight-line tracking in currents)chcnav.com; real-time data & video via Android controllerchcnav.com,"0 (uncrewed, one operator onshore)",IP67; CE/FCC (commercial),"Level 3 (autonomous survey, human-supervised)","Inland water depth mapping, sediment studies, reservoir volume surveys, floodplain analysischcnav.com",Pros: Rugged one-piece carbon fiber hull (10 MPa strength)chcnav.com yet lightweight (7 kg); high collision resistance and stability in shallow waterschcnav.com; consistent data even under GNSS outages (GNSS+IMU fusion)chcnav.com.,Cons: Limited wave tolerance (Sea State 2)vpk.name; single-beam sonar only (no multi-beam); modest towing/payload capability compared to larger USVs (25 kg payload).,Apache 3 Datasheetchcnav.comchcnav.com,CHCNAV Apache 3 Pageunmannedsystemstechnology.comunmannedsystemstechnology.com,chcnav.comchcnav.comunmannedsystemstechnology.com
9,Apache 4,CHC Navigation (CHCNAV),China,10,10,0.08,0.17,2.00,4.00,1.2,1.20×0.75×0.30 mu ,~4 h (2 h per battery ×2 @ 2 m/s) ,Twin electric thrusters; catamaran hull with ADCP well; dual hot-swap batteries (Li-ion),Electric (twin Li-ion battery packs),5 m/s (10 kn) max,"Single-beam echo sounder + ADCP support, GNSS+INS, optional side-scan & water quality sensors","Hydrological surveys with ADCP (river discharge), bathymetry and hydrographic mapping, autonomous MCM ",2.4 GHz RC (?1 km); 4G link for extended control,Single-beam sonar (standard); integration for Teledyne/Sontek ADCPs; side-scan sonar and water quality probes optional,Autonomous cruise control (hover & station-keeping in currents); remote control up to 2 km,0 (uncrewed),IP67; CE (commercial use),Level 3 (autonomy with human oversight),"River flow measurement (ADCP cross-sections), harbor bathymetry, mine countermeasure (towing side-scan), environmental surveys","Pros: Versatile payload bay (supports ADCPs from multiple brands); stable hovering in strong currents for accurate flow data; modular sensor options (MBES, side-scan, etc.) extend mission profiles.",Cons: Moderate endurance requiring battery swaps for longer missions; limited top speed 3.5 m/s when heavily loaded (ADCP drag); small size restricts open-sea operations.,Apache 4 Datasheetgeospatial.chcnav.comgeospatial.chcnav.com,CHCNAV Apache 4 Pageunmannedsystemstechnology.comunmannedsystemstechnology.com,unmannedsystemstechnology.comunmannedsystemstechnology.comgeospatial.chcnav.com
10,Apache 6,CHC Navigation (CHCNAV),China,7,7,0.13,0.13,3.00,3.00,1.8,1.80×0.55×0.25 mu ,2–3 h (extendable with add’l batteries) ,Twin electric propellers; triple-hull (detachable outrigger) design; multiple battery slots (Li-ion),Electric (Li-ion battery modules),3.5 m/s (~7 kn) max,"NORBIT multibeam echo-sounder (integrated), single-beam & LiDAR options, dual GNSS+INS, 360° camera","High-resolution 3D bathymetric survey, offshore construction support, underwater object detection & salvage",2.4 GHz RC (up to 2 km); 4G LTE broadband link,"Multibeam sonar (fully integrated NORBIT series), optional LiDAR for simultaneous above-water mapping, fish-finder transducer for biomass surveys",Fully autonomous survey mode (accurate straight-line navigation in waves); Android-based RC for real-time multibeam data and control up to 2 km,0 (uncrewed; 2 operators needed to deploy unit),– (Designed to MIL standards; likely COLREGS compliant),Level 4 (capable of fully autonomous survey missions),"Coastal and offshore hydrography, harbor dredging surveys, underwater archaeology (wreck mapping), pipeline and cable route surveys","Pros: High payload capacity (60 kg) for multibeam, LiDAR, etc.; optimized for Norbit MBES, delivering high-res data for demanding projectsyoutube.com; stable triple-hull with detachable outriggers for both open water stability and narrow-channel access.",Cons: Short runtime without battery augmentation; relatively low top speed (to protect sensor data quality); larger size (1.8 m) still requires careful transport and two-person handling; high complexity and cost for sensor suite integration.,Apache 6 Datasheetunmannedsystemstechnology.comunmannedsystemstechnology.com,CHCNAV Apache 6 Pageunmannedsystemstechnology.comunmannedsystemstechnology.com,unmannedsystemstechnology.comgeospatial.chcnav.comgeospatial.chcnav.com
